_id,name,description,amount,concurrentAmount,hostedBy,invitations,users,transactions,endDate,createdDate,defaultApproveStatus,isClosed
b63f324fe62991060d8cc1e7,Saving For Travel 1,"Join ""Saving For Travel 1"" to set aside money specifically for future trips and adventures. Create a dedicated saving, cut unnecessary expenses, and finding ways to increase savings over time. By prioritizing travel goals, you can build a travel fund that allows you to explore new destinations without financial stress. Whether it's a weekend getaway or a dream vacation, disciplined saving ensures that travel plans become a reality.",3284000,3284000,72e4b93000be75dd6e367723,666c8aee94b6b991c56cfd39,e99436255b727036e00eefd5;bf86ecec42cd596815b82763,666a4e3b82c9937c907382ff;666a4e3b82c9937c9073840b,2024-03-14T00:00:00.000Z,2023-12-14T00:00:00.000Z,Approved,false
07d1be44c0380f3696e83722,Saving For Travel 2,"Join ""Saving For Travel 2"" to set aside money specifically for future trips and adventures. Create a dedicated saving, cut unnecessary expenses, and finding ways to increase savings over time. By prioritizing travel goals, you can build a travel fund that allows you to explore new destinations without financial stress. Whether it's a weekend getaway or a dream vacation, disciplined saving ensures that travel plans become a reality.",19980000,19980000,567cedea6bd680f6d9fac54a,666c8aee94b6b991c56cfd3a,a32b8962db959b002019627a;f47c26f82c759eea28ca23c8;2eff0eddee0b8c9a2601fead;5334561365d21e9ad4812095,666a4e3b82c9937c90738291;666a4e3b82c9937c907382d5;666a4e3b82c9937c907383fa;666a4e3b82c9937c907383ff,2024-09-14T00:00:00.000Z,2024-06-14T00:00:00.000Z,Approved,false
4a6e861d6b10a7ada741c17c,Saving For Travel 3,"Join ""Saving For Travel 3"" to set aside money specifically for future trips and adventures. Create a dedicated saving, cut unnecessary expenses, and finding ways to increase savings over time. By prioritizing travel goals, you can build a travel fund that allows you to explore new destinations without financial stress. Whether it's a weekend getaway or a dream vacation, disciplined saving ensures that travel plans become a reality.",13782000,13782000,21d01d11a8bae6956d4fd98d,666c8aee94b6b991c56cfd3b,f579a2579d8d862480fad2b8;475654515a4b6bc03e3f1cc1;845c864a4de70832f4364f15,666a4e3b82c9937c9073830a;666a4e3b82c9937c9073831c;666a4e3b82c9937c907383d8;666a4e3b82c9937c907383f3,2024-05-14T00:00:00.000Z,2024-02-14T00:00:00.000Z,Approved,false
093383e3bb46e30bceaf76e8,Saving For Travel 4,"Join ""Saving For Travel 4"" to set aside money specifically for future trips and adventures. Create a dedicated saving, cut unnecessary expenses, and finding ways to increase savings over time. By prioritizing travel goals, you can build a travel fund that allows you to explore new destinations without financial stress. Whether it's a weekend getaway or a dream vacation, disciplined saving ensures that travel plans become a reality.",11540000,11540000,2eff0eddee0b8c9a2601fead,666c8aee94b6b991c56cfd3c,8221d64ec10d0f8c0eaacd7d;596573b1e54591d7694cbcb9,666a4e3b82c9937c907382cf;666a4e3b82c9937c907382fa,2023-12-14T00:00:00.000Z,2023-09-14T00:00:00.000Z,Approved,false
7c364988c8d99fd437a40b5d,Saving For Travel 5,"Join ""Saving For Travel 5"" to set aside money specifically for future trips and adventures. Create a dedicated saving, cut unnecessary expenses, and finding ways to increase savings over time. By prioritizing travel goals, you can build a travel fund that allows you to explore new destinations without financial stress. Whether it's a weekend getaway or a dream vacation, disciplined saving ensures that travel plans become a reality.",16432000,16432000,71c3173179c4dcb1413b39ba,666c8aee94b6b991c56cfd3d,e99436255b727036e00eefd5;d70844eaf055cda2ef7b56e9;a32b8962db959b002019627a,666a4e3b82c9937c90738322;666a4e3b82c9937c907383ab;666a4e3b82c9937c907383b8;666a4e3b82c9937c907383f7,2025-06-14T00:00:00.000Z,2025-03-14T00:00:00.000Z,Approved,false
ec1832e20e340b2d307a1c12,Saving For Travel 6,"Join ""Saving For Travel 6"" to set aside money specifically for future trips and adventures. Create a dedicated saving, cut unnecessary expenses, and finding ways to increase savings over time. By prioritizing travel goals, you can build a travel fund that allows you to explore new destinations without financial stress. Whether it's a weekend getaway or a dream vacation, disciplined saving ensures that travel plans become a reality.",21373000,20373000,11a1b5ceea49f09253f955a8,666c8aee94b6b991c56cfd3e,833b44f56b8cbece7d04def3;e99436255b727036e00eefd5;475654515a4b6bc03e3f1cc1;f47c26f82c759eea28ca23c8,666a4e3b82c9937c907382ce;666a4e3b82c9937c9073835b;666a4e3b82c9937c907383d0;666a4e3b82c9937c907383d1,2024-05-14T00:00:00.000Z,2024-02-14T00:00:00.000Z,Pending,false
90566e47c86c96bd3f42798b,Saving For Travel 7,"Join ""Saving For Travel 7"" to set aside money specifically for future trips and adventures. Create a dedicated saving, cut unnecessary expenses, and finding ways to increase savings over time. By prioritizing travel goals, you can build a travel fund that allows you to explore new destinations without financial stress. Whether it's a weekend getaway or a dream vacation, disciplined saving ensures that travel plans become a reality.",40866000,39866000,5d6a1f5ad9777d66c4103d51,666c8aee94b6b991c56cfd3f,2eff0eddee0b8c9a2601fead;845c864a4de70832f4364f15;f579a2579d8d862480fad2b8;de5b88c96f9e4797f8902765,666a4e3b82c9937c907382fc;666a4e3b82c9937c90738321;666a4e3b82c9937c90738341;666a4e3b82c9937c907383eb;666a4e3b82c9937c9073840f;666a4e3b82c9937c90738411;666a4e3b82c9937c90738416,2024-07-14T00:00:00.000Z,2024-04-14T00:00:00.000Z,Pending,false
ce03f312f3ee9ac44410801d,Saving For Travel 8,"Join ""Saving For Travel 8"" to set aside money specifically for future trips and adventures. Create a dedicated saving, cut unnecessary expenses, and finding ways to increase savings over time. By prioritizing travel goals, you can build a travel fund that allows you to explore new destinations without financial stress. Whether it's a weekend getaway or a dream vacation, disciplined saving ensures that travel plans become a reality.",17365000,0,596573b1e54591d7694cbcb9,666c8aee94b6b991c56cfd40,,,2024-12-14T00:00:00.000Z,2024-09-14T00:00:00.000Z,Pending,false
a98647b1f63519ddca1836de,Saving For Travel 9,"Join ""Saving For Travel 9"" to set aside money specifically for future trips and adventures. Create a dedicated saving, cut unnecessary expenses, and finding ways to increase savings over time. By prioritizing travel goals, you can build a travel fund that allows you to explore new destinations without financial stress. Whether it's a weekend getaway or a dream vacation, disciplined saving ensures that travel plans become a reality.",25993000,24993000,f25c51fc7b2e63ad6cc6bf77,666c8aee94b6b991c56cfd41,d70844eaf055cda2ef7b56e9;475654515a4b6bc03e3f1cc1;71c3173179c4dcb1413b39ba;a32b8962db959b002019627a;8221d64ec10d0f8c0eaacd7d,666a4e3b82c9937c907382ab;666a4e3b82c9937c90738302;666a4e3b82c9937c9073832e;666a4e3b82c9937c90738351;666a4e3b82c9937c907383c5;666a4e3b82c9937c9073841f,2024-12-14T00:00:00.000Z,2024-09-14T00:00:00.000Z,Pending,false
4e3abc58f1f0600a643db824,Saving For Travel 10,"Join ""Saving For Travel 10"" to set aside money specifically for future trips and adventures. Create a dedicated saving, cut unnecessary expenses, and finding ways to increase savings over time. By prioritizing travel goals, you can build a travel fund that allows you to explore new destinations without financial stress. Whether it's a weekend getaway or a dream vacation, disciplined saving ensures that travel plans become a reality.",36470000,35470000,8221d64ec10d0f8c0eaacd7d,666c8aee94b6b991c56cfd42,845c864a4de70832f4364f15;e99436255b727036e00eefd5;f25c51fc7b2e63ad6cc6bf77;1890a8880bcde17bb895f735;71c3173179c4dcb1413b39ba,666a4e3b82c9937c90738296;666a4e3b82c9937c90738337;666a4e3b82c9937c907383a5;666a4e3b82c9937c907383c7;666a4e3b82c9937c907383d4;666a4e3b82c9937c907383de,2024-03-14T00:00:00.000Z,2023-12-14T00:00:00.000Z,Pending,false
f19c74cb3a5e7884813de6ea,Saving For Buying House 1,"""Saving For Buying House 1"" focuses on setting aside a specific amount of money regularly to build up funds for purchasing a home. This involves dedicating a portion of your income to a savings account or investment specifically earmarked for a down payment and other home-buying expenses. By consistently saving, you gradually accumulate the necessary funds, bringing you closer to achieving your goal of homeownership.",13282000,13282000,9d2cdfcd0b8de5a9eb68b1b9,666c8aee94b6b991c56cfd43,8494863791b8e5234eb1ad35;567cedea6bd680f6d9fac54a;f25c51fc7b2e63ad6cc6bf77,666a4e3b82c9937c907382e2;666a4e3b82c9937c907382eb;666a4e3b82c9937c90738406,2023-06-14T00:00:00.000Z,2023-03-14T00:00:00.000Z,Approved,false
7c3ec5d0b465ba02c8086c38,Saving For Buying House 2,"""Saving For Buying House 2"" focuses on setting aside a specific amount of money regularly to build up funds for purchasing a home. This involves dedicating a portion of your income to a savings account or investment specifically earmarked for a down payment and other home-buying expenses. By consistently saving, you gradually accumulate the necessary funds, bringing you closer to achieving your goal of homeownership.",919000,919000,d70844eaf055cda2ef7b56e9,666c8aee94b6b991c56cfd44,11a1b5ceea49f09253f955a8,666a4e3b82c9937c9073840a,2025-06-14T00:00:00.000Z,2025-03-14T00:00:00.000Z,Approved,false
df089aff1e4896957db94a9a,Saving For Buying House 3,"""Saving For Buying House 3"" focuses on setting aside a specific amount of money regularly to build up funds for purchasing a home. This involves dedicating a portion of your income to a savings account or investment specifically earmarked for a down payment and other home-buying expenses. By consistently saving, you gradually accumulate the necessary funds, bringing you closer to achieving your goal of homeownership.",1745000,1745000,1ba4b78e62930eae5731b9ca,666c8aee94b6b991c56cfd45,f585e5dbf71788a1594db8c5,666a4e3b82c9937c907383b9,2024-05-14T00:00:00.000Z,2024-02-14T00:00:00.000Z,Approved,false
b55490574ab8069e60b5e1af,Saving For Buying House 4,"""Saving For Buying House 4"" focuses on setting aside a specific amount of money regularly to build up funds for purchasing a home. This involves dedicating a portion of your income to a savings account or investment specifically earmarked for a down payment and other home-buying expenses. By consistently saving, you gradually accumulate the necessary funds, bringing you closer to achieving your goal of homeownership.",7921000,7921000,f585e5dbf71788a1594db8c5,666c8aee94b6b991c56cfd46,e99436255b727036e00eefd5;833b44f56b8cbece7d04def3,666a4e3b82c9937c907383d6;666a4e3b82c9937c907383db,2024-07-14T00:00:00.000Z,2024-04-14T00:00:00.000Z,Approved,false
